"Preston, D.L., Orlofske, S.A., McLaughlin, J.P., and Johnson, P.T.J. (2012). Food web including infectious agents for a California freshwater pond. Ecology. 93(7), pp. 1760.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick pond - northern California,detritus,carrion,phytoplankton,benthic microalgae/periphyton,vascular plants,zooplankton,meiofauna,bacteria,Dero sp.,Tubificidae,Chaetogaster sp.,Erpobdella sp.,Physa sp.,Helisoma sp.,Hyalella sp.,Macrocyclops sp.,diaptomidae,Simocephalus sp.,Cyzicus californicus,Callibaetis sp. (adult),Callibaetis sp. (larvae),Haliplus sp. (adult),Haliplus sp. (larvae),Hydrophilus sp. (adult),Hydrophilus sp. (larvae),Tropisternus sp. (adult),Tropisternus sp. (larvae),Notonecta sp. (adult),Notonecta sp. (larvae),gerridae (adult),gerridae (larvae),Hesperocorixa sp. (adult),Hesperocorixa sp. (larvae),Lethocerus americanus (adult),Lethocerus americanus (larvae),Belostoma sp. (adult),Belostoma sp. (larvae),chironomidae (adult),chironomidae (larvae),chironomidae (pupae),ceratopogonidae (adult),ceratopogonidae (larvae),ceratopogonidae (pupae),ephydridae (adult),ephydridae (larvae),ephydridae (pupae),Tramea sp. (adult),Tramea sp. (larvae)\,Coenagrion sp. (adult),Coenagrion sp. (larvae),Lestes sp. (adult),Lestes sp. (larvae),Anax junius (adult),Anax junius (larvae),Taricha torosa (adult),Taricha torosa (larvae),Anaxyrus boreas (adult),Anaxyrus boreas (larvae),Pseudacris regilla (adult),Pseudacris regilla (larvae),Rana draytonii (adult),Rana draytonii (larvae),Thamnophis atratus,Tachycineta bicolor,Hirundo rustica,Agelaius phoeniceus,Fulica americana,Buteo jamaicensis,Ardea herodias,Spermophilus beecheyi,Canis latrans,Arrenurus sp. ,Opalina sp. (trophozoite),Opalina sp. (cyst),Nyctotherus sp. (trophozoite),Nyctotherus sp. (cyst),Gregarinidae (trophozoite),Gregarinidae (sporozoite),Batrachochytrium dendrobatidis (sporangia),Batrachochytrium dendrobatidis (zoospore),Nematode ,Daubaylia sp. ,Ribeiroia ondatrae (adult),Ribeiroia ondatrae (rediae or sporocyst),Ribeiroia ondatrae (cercariae),Ribeiroia ondatrae (metacercariae or mesocercariae),Megalodiscus sp. (adult),Megalodiscus sp. (rediae or sporocyst),Megalodiscus sp. (cercariae),Megalodiscus sp. (metacercariae or mesocercariae),Echinostoma trivolvis (adult),Echinostoma trivolvis (rediae or sporocyst),Echinostoma trivolvis (cercariae),Echinostoma trivolvis (metacercariae or mesocercariae),Echinostoma sp. (adult),Echinostoma sp. (rediae or sporocyst),Echinostoma sp. (cercariae),Echinostoma sp. (metacercariae or mesocercariae),Halipegus sp. (adult),Halipegus sp. (rediae or sporocyst),Halipegus sp. (cercariae),Halipegus sp. (metacercariae or mesocercariae),Alaria sp. (adult),Alaria sp. (rediae or sporocyst),Alaria sp. (cercariae),Alaria sp. (metacercariae or mesocercariae),Cephalogonimus americanus (adult),Cephalogonimus americanus (rediae or sporocyst),Cephalogonimus americanus (cercariae),Cephalogonimus americanus (metacercariae or mesocercariae),Pseudocorynosoma constrictum (adult),Pseudocorynosoma constrictum (acanthella),Pseudocorynosoma constrictum (cystacanth)
detritus,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carrion,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phytoplankton,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benthic microalgae/periphyton,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vascular plants,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zooplankton,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
meiofauna,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bacteria,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dero sp.,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tubificidae,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
